Item,Gold (g),Aluminum (g),Silver (g),Carbon (g),Platinum (g),Rhodium (g),Nickel (g),Tin (g),Lithium (g)
Amazon Kindle,1.23,1.26,0.46,0.43,0.05,0.07,0.55,1.05,1.24
Fitbit Charge,4.58,1.02,2.39,0.45,0.03,0.09,1.81,0.97,2.33
Nintendo Switch,0.36,1.15,2.96,0.44,0.17,0.09,1.03,1.29,0.69
Nintendo Switch,4.57,0.43,0.34,0.78,0.13,0.02,0.73,0.44,2.81
Sony PlayStation 5,4.51,0.46,0.31,0.85,0.17,0.02,0.22,0.33,1.21
iPhone 11,0.76,1.0,0.46,0.99,0.15,0.03,1.56,1.12,1.56
Raspberry Pi 4,0.47,0.29,1.23,0.98,0.14,0.08,0.39,1.45,2.39
iPad Pro,1.5,0.39,1.89,0.41,0.03,0.04,0.81,0.12,2.92
Canon EOS R5,0.63,0.87,1.1,0.96,0.15,0.07,1.44,1.48,2.06
iPad Pro,3.04,0.69,1.32,0.13,0.03,0.04,1.25,0.33,0.5
Lenovo ThinkPad X1,3.6,1.69,1.61,0.79,0.01,0.09,0.34,0.66,2.98
HP Spectre x360,3.4,0.5,0.83,0.3,0.12,0.01,0.79,1.37,1.4
Dell XPS 13,2.94,1.89,1.83,0.93,0.08,0.03,0.2,1.41,2.19
Amazon Kindle,2.16,0.69,1.47,0.86,0.18,0.06,1.82,1.47,0.78
Microsoft Surface Pro,0.69,0.21,2.63,0.54,0.06,0.08,1.63,1.37,2.96
LG OLED TV,3.81,1.97,2.84,0.62,0.16,0.05,0.92,0.48,2.17
Google Pixel 6,4.3,1.7,1.55,0.77,0.1,0.06,1.2,1.38,1.57
Sony PlayStation 5,4.14,1.41,1.37,0.26,0.02,0.06,0.6,0.48,2.99
Lenovo ThinkPad X1,4.47,0.28,1.51,0.81,0.06,0.05,1.67,0.53,1.59
Microsoft Surface Pro,2.19,1.51,2.49,0.2,0.16,0.03,1.59,1.2,1.41
OnePlus 9 Pro,3.26,0.23,0.48,0.3,0.15,0.03,1.91,0.42,1.81
iPad Pro,2.5,1.22,2.41,0.36,0.02,0.08,1.25,1.38,2.85
Samsung Galaxy S20,1.33,1.11,1.5,0.11,0.05,0.04,1.12,0.55,2.69
Samsung Galaxy S20,4.54,1.74,1.63,0.82,0.19,0.1,1.8,1.06,0.32
Fitbit Charge,0.72,1.82,2.43,0.7,0.09,0.07,0.69,0.39,2.4
OnePlus 9 Pro,3.21,0.39,2.65,0.36,0.01,0.05,0.37,1.23,0.75
HP Spectre x360,4.47,0.79,1.35,0.84,0.07,0.06,1.14,1.05,2.76
Dell XPS 13,1.1,0.5,0.26,0.91,0.14,0.04,1.81,1.39,1.26
Nintendo Switch,3.65,1.81,0.37,0.34,0.18,0.06,1.0,0.59,0.96
iPhone 11,0.58,1.27,1.31,0.4,0.19,0.07,0.69,1.27,1.84
HP Spectre x360,2.93,1.29,2.21,0.27,0.07,0.07,0.1,0.33,0.66
Sony PlayStation 5,3.43,0.39,2.77,0.35,0.05,0.01,1.09,0.14,1.13
HP Spectre x360,4.16,1.98,1.94,0.84,0.02,0.06,0.99,1.33,2.19
Fitbit Charge,0.57,0.84,1.47,0.33,0.14,0.09,1.18,1.24,2.35
MacBook Pro,2.02,0.16,0.54,0.22,0.15,0.09,0.64,1.34,0.71
Canon EOS R5,1.85,0.2,2.43,0.4,0.17,0.05,1.4,0.89,0.4
Lenovo ThinkPad X1,3.15,1.3,1.75,0.56,0.02,0.07,1.14,0.28,0.51
Dell XPS 13,1.16,0.69,1.32,0.75,0.03,0.08,0.79,0.48,2.34
Xbox Series X,4.5,0.5,0.23,0.56,0.11,0.07,1.48,0.24,1.14
Raspberry Pi 4,3.96,0.87,1.62,0.18,0.14,0.07,1.63,0.42,2.98
iPhone 11,1.65,0.25,2.69,0.16,0.07,0.03,1.54,0.61,1.42
LG OLED TV,0.79,1.73,2.8,0.3,0.08,0.04,1.98,0.37,1.63
Nikon D3500,2.91,0.93,1.93,0.1,0.19,0.05,1.06,0.38,0.96
Canon EOS R5,2.1,1.42,0.45,0.73,0.16,0.08,0.96,0.65,0.58
iPad Pro,4.91,1.9,1.95,0.16,0.05,0.01,0.67,1.23,2.93
Fitbit Charge,0.81,0.62,2.7,0.57,0.15,0.1,1.21,0.58,1.25
iPhone 11,0.14,0.26,2.43,0.86,0.17,0.03,1.83,1.25,1.05
Samsung Galaxy S20,0.83,1.37,0.68,0.43,0.19,0.07,1.7,1.0,1.98
Xbox Series X,3.24,1.27,2.51,0.32,0.03,0.01,1.22,0.26,1.56
Sony PlayStation 5,3.72,0.79,0.66,0.22,0.08,0.08,0.97,1.48,0.91
Raspberry Pi 4,4.79,0.93,1.52,0.35,0.12,0.01,1.17,0.6,0.95
LG OLED TV,3.44,1.55,2.97,0.12,0.02,0.08,0.62,1.23,1.76
Nintendo Switch,2.98,0.67,1.5,0.46,0.18,0.03,1.29,0.5,1.34
iPhone 11,4.16,1.24,2.12,0.22,0.13,0.04,0.93,1.42,0.34
Samsung Galaxy S20,4.31,0.77,2.99,0.49,0.14,0.03,1.45,1.2,1.31
LG OLED TV,1.99,2.0,2.27,0.56,0.02,0.08,1.95,0.22,1.91
Sony PlayStation 5,2.63,1.34,2.62,0.44,0.02,0.01,1.13,0.64,1.66
Canon EOS R5,1.32,1.51,2.72,0.34,0.01,0.02,1.31,1.26,0.76
Amazon Kindle,0.54,1.5,0.54,0.29,0.13,0.02,1.87,1.13,1.29
Canon EOS R5,3.73,1.76,2.33,0.54,0.04,0.02,1.28,1.36,1.34
iPad Pro,2.38,0.25,1.65,0.83,0.05,0.05,0.52,1.29,1.92
Amazon Kindle,3.15,0.93,0.76,0.55,0.14,0.01,1.59,1.14,0.79
Nintendo Switch,2.92,1.31,2.92,0.47,0.08,0.05,0.94,0.44,1.17
Samsung Galaxy S20,0.34,0.81,2.51,0.51,0.13,0.06,0.19,0.76,2.41
Sony PlayStation 5,2.06,1.55,0.13,0.77,0.2,0.05,1.58,1.49,1.67
Google Pixel 6,3.83,0.83,1.58,0.66,0.11,0.09,0.93,1.5,0.28
Apple Watch,1.27,0.15,1.29,0.18,0.12,0.1,1.49,0.13,1.87
Amazon Kindle,3.31,0.54,1.83,0.43,0.08,0.02,1.83,0.65,2.53
Apple Watch,1.41,1.02,0.12,0.31,0.15,0.07,1.61,0.25,0.89
Apple Watch,4.49,1.64,1.62,0.71,0.15,0.01,0.36,0.24,1.97
Sony PlayStation 5,3.43,0.13,0.74,0.48,0.08,0.06,0.65,0.96,0.21
Apple Watch,4.67,0.99,2.74,0.29,0.14,0.06,1.94,0.94,0.37
Nikon D3500,2.09,1.65,1.86,0.85,0.07,0.08,1.95,0.17,0.75
Lenovo ThinkPad X1,0.59,1.83,1.79,0.16,0.02,0.02,0.65,1.23,2.45
Nintendo Switch,0.36,1.41,2.25,0.94,0.01,0.03,0.22,0.6,2.5
Lenovo ThinkPad X1,4.79,0.55,2.22,0.29,0.02,0.04,0.8,0.7,1.5
Xbox Series X,1.75,1.73,2.19,0.45,0.2,0.06,1.98,1.48,2.95
Dell XPS 13,1.9,1.7,2.37,0.74,0.1,0.02,0.78,1.21,2.68
Raspberry Pi 4,3.13,0.33,0.66,0.34,0.08,0.01,1.28,1.44,0.63
Xbox Series X,1.26,1.76,1.04,0.86,0.02,0.06,1.74,0.6,1.33
Raspberry Pi 4,3.94,0.89,0.58,0.22,0.16,0.09,1.52,0.75,0.86
Xbox Series X,3.26,0.84,1.25,0.88,0.19,0.1,0.37,0.49,2.07
iPhone 11,0.39,0.17,0.14,0.31,0.13,0.1,0.51,0.32,2.17
MacBook Pro,0.2,0.84,0.67,0.85,0.05,0.08,0.3,0.43,1.65
Apple Watch,4.31,1.9,2.98,0.1,0.2,0.04,0.32,0.84,2.35
Xbox Series X,2.79,1.45,1.03,0.36,0.08,0.08,1.77,0.6,0.5
iPhone 11,0.82,1.22,1.31,0.62,0.03,0.07,0.98,0.24,0.7
Samsung Galaxy S20,2.63,0.22,2.67,0.21,0.19,0.04,1.76,0.88,1.65
Samsung Galaxy S20,0.17,0.18,2.77,0.27,0.08,0.05,1.99,1.1,2.21
Google Pixel 6,2.1,1.34,2.19,0.83,0.03,0.07,0.51,0.44,1.59
Nintendo Switch,0.68,0.41,0.26,0.63,0.06,0.09,1.24,0.77,2.72
Raspberry Pi 4,4.07,1.98,2.33,0.74,0.01,0.05,1.73,1.25,2.24
iPad Pro,0.56,1.28,1.9,0.35,0.05,0.02,0.4,1.14,0.98
iPhone 11,2.51,0.24,1.98,0.48,0.08,0.05,0.18,1.34,1.01
Lenovo ThinkPad X1,2.44,1.92,1.36,0.89,0.07,0.09,1.65,0.88,2.54
OnePlus 9 Pro,4.47,0.66,1.24,0.65,0.1,0.03,0.47,0.54,1.52
Raspberry Pi 4,4.11,0.51,2.91,0.45,0.02,0.06,1.78,0.82,1.96
iPad Pro,1.18,1.5,2.16,0.18,0.17,0.1,1.38,0.45,1.44
Google Pixel 6,2.68,0.22,2.59,0.3,0.2,0.02,0.77,1.24,0.76
MacBook Pro,2.11,0.81,1.48,0.27,0.18,0.09,0.88,0.42,2.2
Sony PlayStation 5,3.6,0.62,1.76,0.69,0.11,0.08,1.33,0.61,2.62
MacBook Pro,4.86,0.95,1.1,0.93,0.18,0.07,0.96,0.25,2.18
LG OLED TV,3.33,1.95,1.09,0.22,0.12,0.1,0.49,0.54,1.92
Xbox Series X,4.93,0.87,1.18,0.24,0.08,0.02,1.18,1.24,2.25
Microsoft Surface Pro,2.34,1.92,2.99,0.61,0.03,0.03,1.61,0.65,1.76
Microsoft Surface Pro,0.23,0.2,1.22,0.8,0.17,0.07,0.27,0.77,2.08
HP Spectre x360,4.09,1.3,2.4,0.67,0.17,0.05,1.23,0.8,2.79
Fitbit Charge,0.75,0.95,0.39,0.83,0.15,0.07,0.15,0.93,2.42
Nintendo Switch,4.44,1.87,2.93,0.66,0.05,0.02,1.57,0.48,0.25
Xbox Series X,4.38,1.64,0.84,0.14,0.05,0.09,1.12,0.15,1.82
Microsoft Surface Pro,4.45,1.6,0.72,0.64,0.16,0.07,1.2,1.43,2.68
Canon EOS R5,1.81,0.8,1.99,0.59,0.01,0.03,1.65,0.19,2.52
Apple Watch,3.67,1.13,1.28,0.99,0.11,0.08,1.6,0.17,2.26
Google Pixel 6,4.78,1.27,1.59,0.64,0.04,0.1,1.23,1.09,3.0
Lenovo ThinkPad X1,3.79,1.97,0.22,0.73,0.05,0.03,1.88,0.8,2.39
LG OLED TV,0.72,1.82,0.67,0.36,0.04,0.09,0.41,0.13,0.38
Fitbit Charge,2.55,0.62,1.38,0.54,0.08,0.02,1.55,0.19,2.95
Amazon Kindle,0.88,1.22,0.81,0.93,0.16,0.03,1.38,0.1,2.37
iPhone 11,2.75,1.4,0.62,0.11,0.16,0.04,1.39,1.02,1.4
Amazon Kindle,1.27,0.5,0.34,0.13,0.01,0.08,1.48,0.46,2.87
HP Spectre x360,3.41,1.05,0.19,0.92,0.08,0.1,0.64,0.63,1.78
iPhone 11,4.84,1.33,1.39,0.83,0.06,0.01,0.11,0.31,2.03
LG OLED TV,4.13,0.28,0.4,0.85,0.04,0.09,0.17,0.76,0.96
Microsoft Surface Pro,2.1,0.87,1.62,0.86,0.19,0.04,1.61,0.37,0.95
Lenovo ThinkPad X1,3.2,1.36,2.83,0.64,0.15,0.01,1.53,0.64,0.81
Amazon Kindle,0.11,1.85,0.23,0.16,0.1,0.07,0.92,1.42,1.19
Lenovo ThinkPad X1,3.64,1.54,1.27,0.32,0.13,0.03,1.68,1.31,1.0
Google Pixel 6,2.33,0.83,0.97,0.63,0.12,0.1,1.38,0.77,2.21
Microsoft Surface Pro,2.21,0.93,0.1,0.42,0.08,0.02,1.74,1.37,0.24
MacBook Pro,4.15,1.51,1.92,0.99,0.2,0.07,1.38,1.45,2.2
MacBook Pro,0.97,1.26,0.79,0.6,0.1,0.03,1.69,0.61,1.65
HP Spectre x360,0.57,1.77,2.99,0.76,0.03,0.07,1.43,0.39,1.16
Fitbit Charge,2.05,1.77,1.65,0.28,0.06,0.04,1.82,0.31,2.86
HP Spectre x360,4.99,0.34,0.36,0.45,0.12,0.06,0.57,0.7,2.69
HP Spectre x360,4.37,0.59,2.93,0.39,0.18,0.09,1.74,1.12,2.87
Dell XPS 13,0.5,0.22,0.82,0.15,0.16,0.02,1.05,0.27,1.18
Nintendo Switch,2.37,0.89,0.61,0.29,0.13,0.05,0.11,0.45,2.22
Samsung Galaxy S20,0.13,1.29,0.83,0.19,0.08,0.02,0.18,0.19,1.57
Apple Watch,4.67,1.57,0.48,0.62,0.09,0.05,1.41,1.0,1.05
Microsoft Surface Pro,3.6,1.0,1.81,0.11,0.17,0.01,1.19,0.74,0.93
Microsoft Surface Pro,0.84,1.33,0.93,0.74,0.11,0.09,1.42,1.12,0.62
Sony PlayStation 5,1.97,0.3,1.04,0.15,0.13,0.03,1.83,1.27,0.65
Samsung Galaxy S20,2.06,0.99,1.53,0.11,0.19,0.07,1.75,1.29,0.85
Apple Watch,2.49,1.09,1.49,0.32,0.16,0.01,0.93,0.23,0.66
Nikon D3500,1.53,1.87,2.94,0.8,0.02,0.09,1.14,1.21,2.35
Fitbit Charge,3.55,1.53,2.84,0.35,0.16,0.03,1.91,1.03,0.22
Nintendo Switch,2.33,1.21,0.45,0.3,0.15,0.03,0.5,0.94,1.14
Lenovo ThinkPad X1,0.9,1.73,2.17,0.72,0.14,0.04,0.8,0.17,2.92
Samsung Galaxy S20,1.44,0.94,2.29,0.74,0.12,0.1,1.44,0.2,2.57
MacBook Pro,3.59,0.85,1.79,0.79,0.06,0.03,0.42,1.14,2.32
MacBook Pro,2.5,1.65,1.89,0.93,0.13,0.1,0.25,0.4,1.43
Raspberry Pi 4,0.92,1.53,1.17,0.91,0.05,0.07,1.67,0.33,1.71
Xbox Series X,2.26,0.29,1.58,0.51,0.07,0.05,0.68,1.35,0.36
Canon EOS R5,3.99,1.65,2.64,0.13,0.13,0.06,0.38,0.65,1.53
Amazon Kindle,0.89,1.51,2.83,0.96,0.06,0.03,0.66,1.36,0.25
Dell XPS 13,1.4,1.26,0.14,0.4,0.18,0.07,1.14,0.38,0.48
HP Spectre x360,4.39,1.43,1.61,0.65,0.08,0.03,0.76,0.35,0.22
MacBook Pro,4.51,1.53,1.64,0.95,0.03,0.07,1.1,0.9,2.45
Sony PlayStation 5,0.5,0.82,0.4,0.6,0.14,0.08,0.14,0.15,0.3
Samsung Galaxy S20,4.5,1.64,2.38,0.48,0.05,0.09,1.14,1.5,2.9
Raspberry Pi 4,0.74,0.42,2.51,0.45,0.03,0.04,0.36,1.37,2.3
OnePlus 9 Pro,2.87,0.45,1.31,0.51,0.05,0.08,0.94,0.87,0.36
Sony PlayStation 5,1.05,0.36,2.69,0.58,0.02,0.06,0.12,0.48,0.92
Nikon D3500,4.88,0.72,1.78,0.31,0.12,0.08,1.19,1.5,2.32
Sony PlayStation 5,4.84,0.24,2.65,0.42,0.11,0.03,0.35,1.38,1.68
Google Pixel 6,4.22,0.67,2.39,0.43,0.17,0.03,0.49,0.8,0.59
Fitbit Charge,3.32,0.58,2.77,0.45,0.14,0.02,1.12,1.43,2.75
Amazon Kindle,4.64,1.9,1.72,0.31,0.15,0.01,0.47,1.34,1.8
Lenovo ThinkPad X1,1.46,1.08,0.22,0.65,0.2,0.06,0.44,0.94,1.6
Lenovo ThinkPad X1,2.33,1.79,1.77,0.63,0.19,0.08,0.79,0.66,0.18
Google Pixel 6,0.82,0.81,0.73,0.65,0.12,0.02,0.94,1.17,1.52
Microsoft Surface Pro,1.84,1.81,0.62,0.16,0.08,0.06,1.12,1.01,0.43
Raspberry Pi 4,0.47,0.81,2.03,0.75,0.13,0.04,1.19,1.21,1.31
Canon EOS R5,4.82,1.55,2.8,0.36,0.18,0.09,0.66,0.83,2.6
Amazon Kindle,4.8,1.39,0.97,0.38,0.06,0.04,0.39,0.79,0.14
iPad Pro,2.79,1.07,2.94,0.9,0.01,0.05,1.52,1.44,1.45
OnePlus 9 Pro,4.3,1.24,0.16,0.13,0.12,0.05,1.11,1.49,0.53
MacBook Pro,0.57,0.59,1.61,0.79,0.19,0.02,0.93,1.19,1.96
Amazon Kindle,3.36,1.96,1.23,0.98,0.17,0.04,1.64,0.34,0.96
Google Pixel 6,1.17,0.41,2.12,0.58,0.04,0.05,1.59,0.86,0.47
HP Spectre x360,4.83,0.94,0.53,0.57,0.06,0.01,1.07,0.71,2.66
MacBook Pro,2.68,1.82,2.25,0.85,0.11,0.08,0.35,1.01,1.04
Lenovo ThinkPad X1,3.95,1.27,0.92,0.48,0.13,0.03,0.51,0.24,0.92
Nikon D3500,1.38,0.86,2.45,0.39,0.05,0.04,0.72,1.43,2.33
Nintendo Switch,1.51,0.62,2.29,0.62,0.11,0.02,1.95,0.34,1.25
Google Pixel 6,3.37,1.17,0.85,0.65,0.08,0.01,1.11,0.63,1.18
Nintendo Switch,3.88,1.51,1.58,0.65,0.12,0.03,0.58,0.98,0.52
iPad Pro,2.55,1.36,0.36,0.43,0.19,0.09,0.89,0.67,2.3
Nintendo Switch,4.5,0.78,1.57,0.46,0.17,0.07,0.53,1.17,0.11
Apple Watch,1.83,1.28,0.89,0.54,0.1,0.08,0.82,0.84,0.24
Nintendo Switch,4.92,0.12,2.5,0.69,0.08,0.02,0.31,0.22,2.66
MacBook Pro,3.93,0.18,0.79,0.84,0.18,0.07,1.53,0.3,2.14
iPad Pro,4.67,1.49,2.4,0.65,0.03,0.09,1.72,0.37,0.34
Google Pixel 6,0.24,0.8,2.35,0.85,0.07,0.04,1.76,1.05,0.61
Samsung Galaxy S20,2.94,1.71,1.87,0.46,0.17,0.02,0.86,1.49,2.82
HP Spectre x360,3.86,0.46,0.53,0.21,0.09,0.01,0.93,1.35,2.3
MacBook Pro,0.86,1.63,0.57,0.82,0.02,0.06,1.0,0.91,1.27
Nikon D3500,2.89,0.79,1.0,0.4,0.14,0.05,1.1,1.19,2.64
Nintendo Switch,2.72,1.52,0.63,0.12,0.04,0.07,1.53,0.31,2.51
Samsung Galaxy S20,2.31,1.17,1.25,0.44,0.13,0.02,1.46,0.76,2.65
Microsoft Surface Pro,1.09,1.2,2.32,0.89,0.18,0.05,0.91,0.41,2.7
Fitbit Charge,3.97,0.91,1.67,0.25,0.03,0.1,1.12,0.77,2.84
Xbox Series X,2.1,0.54,0.65,0.73,0.01,0.09,1.56,0.64,2.13
iPhone 11,1.34,1.5,2.52,0.8,0.03,0.07,1.11,0.16,2.35
Apple Watch,3.32,0.61,1.21,0.24,0.14,0.08,0.35,0.54,1.18
HP Spectre x360,0.86,1.4,1.97,0.19,0.05,0.04,1.97,0.49,1.46
Apple Watch,2.44,1.22,2.42,0.46,0.17,0.07,1.64,0.39,0.62
Microsoft Surface Pro,2.85,0.58,2.8,0.64,0.16,0.09,1.03,0.28,1.66
Fitbit Charge,4.54,0.97,1.51,0.89,0.17,0.08,1.21,0.26,2.96
Google Pixel 6,4.15,0.28,1.56,0.15,0.03,0.09,1.23,0.68,0.43
Xbox Series X,0.47,1.52,0.62,0.47,0.18,0.09,1.56,0.33,0.45
OnePlus 9 Pro,3.98,0.38,2.16,0.72,0.19,0.06,0.46,0.33,0.92
OnePlus 9 Pro,0.3,0.95,2.45,0.77,0.16,0.02,0.6,0.28,2.67
Nintendo Switch,4.98,0.54,2.81,0.79,0.04,0.09,1.39,0.73,0.9
MacBook Pro,2.28,0.85,2.36,0.78,0.03,0.03,1.28,0.4,0.97
Lenovo ThinkPad X1,1.28,1.3,2.16,0.71,0.03,0.07,1.04,0.24,1.87
Samsung Galaxy S20,3.98,0.93,2.64,0.88,0.08,0.05,1.67,0.58,2.96
Sony PlayStation 5,4.89,1.13,0.39,0.55,0.19,0.05,1.51,1.38,0.87
Nintendo Switch,1.92,0.15,1.91,0.36,0.03,0.01,1.3,1.09,0.83
Sony PlayStation 5,2.87,1.77,0.11,0.96,0.18,0.01,1.9,0.5,0.79
Nintendo Switch,3.15,1.5,1.03,0.51,0.03,0.08,0.18,0.82,2.26
Google Pixel 6,3.79,1.83,2.75,0.85,0.17,0.04,1.78,0.41,0.66
Dell XPS 13,4.15,0.25,0.44,0.68,0.08,0.02,1.4,1.44,1.58
Fitbit Charge,0.76,0.97,1.24,0.57,0.2,0.07,0.21,0.68,0.78
iPad Pro,2.15,0.79,0.68,0.56,0.09,0.05,1.05,1.23,1.64
Xbox Series X,0.32,0.22,2.63,0.56,0.06,0.03,1.37,1.07,1.96
Canon EOS R5,1.38,0.91,1.31,0.19,0.07,0.09,0.77,1.43,0.13
HP Spectre x360,0.13,1.91,1.31,0.94,0.16,0.08,1.09,0.16,1.99
Nintendo Switch,2.58,1.96,1.82,0.42,0.07,0.04,1.11,0.42,1.99
Samsung Galaxy S20,0.9,0.83,1.0,0.93,0.05,0.04,1.86,0.45,1.95
Nikon D3500,3.95,0.19,2.74,0.43,0.1,0.06,1.98,0.98,1.8
Nintendo Switch,2.39,0.45,2.57,0.88,0.09,0.08,0.8,0.29,0.25
Raspberry Pi 4,2.86,1.52,0.23,0.42,0.17,0.03,0.69,0.12,0.97
iPhone 11,4.08,0.93,0.74,0.87,0.18,0.09,0.5,0.98,0.2
Fitbit Charge,4.27,0.67,2.54,0.55,0.19,0.05,0.48,0.5,2.5
Canon EOS R5,2.31,0.96,2.06,0.63,0.11,0.04,1.14,1.2,0.49
Nikon D3500,4.79,0.68,0.95,0.38,0.03,0.03,0.58,0.13,2.73
Samsung Galaxy S20,3.2,0.4,2.67,0.22,0.12,0.02,1.24,0.87,0.82
iPad Pro,4.98,0.53,0.83,0.2,0.11,0.06,0.94,0.97,1.77
MacBook Pro,1.48,1.94,2.51,0.75,0.1,0.02,0.14,0.86,1.26
iPhone 11,1.57,0.9,0.33,0.83,0.11,0.06,1.06,0.39,1.51
LG OLED TV,1.37,1.23,2.22,0.89,0.04,0.07,1.43,1.48,1.34
Nintendo Switch,0.98,0.14,2.55,0.15,0.06,0.04,0.48,1.21,0.67
HP Spectre x360,1.28,1.52,1.03,0.91,0.11,0.03,1.04,1.44,0.43
Lenovo ThinkPad X1,3.48,0.85,2.17,0.14,0.06,0.09,1.3,0.79,0.49
Nikon D3500,1.52,1.94,1.3,0.98,0.17,0.08,1.36,0.86,0.35
Samsung Galaxy S20,3.53,1.51,2.84,0.46,0.16,0.06,0.22,1.48,0.75
Sony PlayStation 5,0.83,0.21,1.43,0.5,0.02,0.01,1.2,0.12,1.91
Nikon D3500,1.42,1.21,1.12,0.75,0.15,0.05,1.81,1.27,0.47
OnePlus 9 Pro,3.1,0.48,2.55,0.44,0.07,0.04,1.67,0.15,1.12
Dell XPS 13,2.47,0.26,1.46,0.78,0.13,0.07,1.31,1.46,2.71
Google Pixel 6,2.95,0.41,1.15,0.73,0.18,0.06,1.76,1.13,0.61
iPad Pro,4.09,1.37,0.28,0.5,0.13,0.06,1.22,0.93,0.7
Samsung Galaxy S20,3.51,1.81,2.53,0.34,0.02,0.06,0.19,0.8,2.6
Microsoft Surface Pro,0.15,1.17,1.3,0.46,0.09,0.07,0.77,1.16,0.26
Samsung Galaxy S20,2.69,0.39,1.55,0.71,0.08,0.08,1.31,0.97,2.23
OnePlus 9 Pro,0.93,0.54,0.56,0.48,0.11,0.08,1.87,0.74,2.49
Sony PlayStation 5,0.69,0.42,0.16,0.36,0.09,0.01,1.52,0.76,1.6
Samsung Galaxy S20,4.65,1.24,0.11,0.68,0.12,0.09,1.57,1.38,0.13
Nikon D3500,2.83,1.0,2.63,0.33,0.05,0.03,1.11,1.49,1.95
Amazon Kindle,3.3,0.99,2.27,0.64,0.09,0.03,0.74,0.14,2.35
HP Spectre x360,1.32,0.34,0.35,0.52,0.03,0.08,0.57,0.25,2.75
Nintendo Switch,4.19,0.23,0.68,0.22,0.1,0.05,0.67,0.27,0.56
MacBook Pro,2.48,1.95,2.02,0.33,0.13,0.03,0.56,1.19,2.51
Nintendo Switch,1.17,1.13,2.57,0.12,0.06,0.08,1.49,0.71,1.05
Fitbit Charge,4.86,0.3,1.44,0.37,0.07,0.05,1.0,0.65,2.72
Fitbit Charge,0.52,1.95,1.38,1.0,0.19,0.04,1.68,0.23,2.0
Xbox Series X,3.47,0.83,0.52,0.63,0.08,0.04,0.34,0.53,0.48
Google Pixel 6,0.81,1.16,0.19,0.68,0.06,0.03,0.77,1.49,2.73
HP Spectre x360,4.93,1.44,2.93,0.8,0.02,0.1,0.67,0.5,2.61
Fitbit Charge,2.74,1.28,2.51,0.43,0.16,0.06,0.82,0.15,1.76
Fitbit Charge,4.07,1.27,1.95,0.59,0.12,0.03,0.46,0.79,1.68
Lenovo ThinkPad X1,2.09,1.58,1.61,0.32,0.06,0.08,1.43,0.45,1.5
Canon EOS R5,0.62,0.92,1.2,0.96,0.1,0.06,1.4,0.52,1.21
iPad Pro,1.62,1.02,0.7,0.84,0.14,0.08,0.94,0.24,2.05
Raspberry Pi 4,4.88,0.44,1.63,0.51,0.18,0.01,0.23,0.29,2.8
Google Pixel 6,3.76,1.47,0.48,0.3,0.16,0.09,1.88,0.89,2.48
Apple Watch,0.7,1.64,2.4,0.62,0.03,0.08,0.52,0.55,0.89
Amazon Kindle,1.84,0.67,1.6,0.96,0.16,0.06,0.85,0.81,2.55
Xbox Series X,1.77,1.25,0.35,0.24,0.15,0.07,0.29,0.94,1.86
Google Pixel 6,2.9,0.88,0.85,0.29,0.13,0.05,0.28,1.33,1.59
Nintendo Switch,0.8,0.33,1.0,0.46,0.02,0.05,0.3,0.36,2.13
Raspberry Pi 4,0.44,1.5,2.13,0.72,0.06,0.06,1.86,1.21,1.4
Microsoft Surface Pro,3.45,0.7,2.34,0.87,0.17,0.04,0.91,1.12,1.25
MacBook Pro,4.84,0.53,1.2,0.17,0.11,0.06,0.41,0.46,1.59
Raspberry Pi 4,3.65,1.16,0.44,0.95,0.01,0.06,0.86,0.49,1.05
Microsoft Surface Pro,0.61,0.55,1.23,0.27,0.15,0.04,1.02,0.68,2.31
Dell XPS 13,3.72,1.39,0.26,0.3,0.18,0.03,1.27,0.61,1.64
Nintendo Switch,0.96,0.63,1.87,0.28,0.04,0.04,0.35,1.22,0.87
Nikon D3500,3.99,1.19,2.74,0.62,0.09,0.06,0.82,0.99,2.44
Google Pixel 6,3.61,1.48,2.58,0.9,0.03,0.04,0.23,1.12,1.75
Canon EOS R5,1.27,0.18,1.33,0.28,0.02,0.1,0.55,1.25,1.26
iPhone 11,2.09,1.37,0.58,0.38,0.05,0.05,0.47,1.18,2.29
iPhone 11,3.52,1.12,0.33,0.91,0.19,0.05,0.68,0.35,0.4
LG OLED TV,1.05,1.29,1.27,0.71,0.09,0.03,0.64,1.38,0.62
Sony PlayStation 5,1.75,0.16,1.58,0.66,0.09,0.04,0.36,1.07,2.72
iPhone 11,0.35,1.42,2.82,0.17,0.09,0.04,1.23,0.95,2.12
Xbox Series X,2.02,1.98,2.22,0.77,0.04,0.04,0.41,0.83,0.95
Google Pixel 6,3.62,1.38,0.71,0.69,0.04,0.05,1.77,0.56,1.9
Nikon D3500,1.01,0.22,2.57,0.86,0.11,0.02,1.51,0.67,2.5
Fitbit Charge,4.08,0.31,0.55,0.81,0.19,0.08,0.7,0.51,1.28
Microsoft Surface Pro,1.45,1.56,1.29,0.24,0.18,0.02,0.47,0.21,1.27
Nikon D3500,0.49,0.58,0.89,0.96,0.05,0.06,0.72,0.61,1.16
Nintendo Switch,0.79,1.61,0.31,0.17,0.12,0.01,0.8,1.02,2.52
iPhone 11,0.41,1.59,0.19,0.83,0.08,0.02,0.56,0.2,1.29
Fitbit Charge,4.56,0.33,0.13,0.87,0.08,0.1,1.6,0.45,2.35
